"Kereta","Nama_Stasiun"
"Lihat di bagian daftar kereta api","Stasiun Jatinegara"
"Yellow Line, Red Line dan Blue Line","Stasiun Manggarai"
"KRL Jatinegara-Bogor","Stasiun Rajawali"
"KRL Ekonomi Jakarta Kota/Tanahabang-Depok, KRL Ekonomi Jakarta Kota/Tanahabang-Bogor","Stasiun Cawang"
"Patas Purwakarta, KRL ekonomi/ekonomi AC","Stasiun Cakung"
"Patas Purwakarta, KRL Ekonomi/Ekonomi AC","Stasiun Buaran"
"KRL Jatinegara-Bogor , KRL Kampung Bandan-Jakarta Kota","Stasiun Kampung Bandan"
"KRL Jatinegara-Depok/Bogor","Stasiun Tebet"
"KRL Jatinegara-Depok/Bogor","Stasiun Kramat"
"KRL Jatinegara-Depok/Bogor","Stasiun Gang Sentiong"
"KRL Jatinegara-Bogor","Stasiun Angke"
"KRL Ekonomi Jakarta-Bogor, KRL Ekonomi AC Jakarta-Bogor, dan KRL Ekonomi Tanahabang-Depok","Stasiun Pasar Minggu Baru"
"Pakuan Ekspres, KRL Ekonomi AC Angke/Jakarta Kota/Manggarai/Tanahabang-Depok, KRL Ekonomi AC Jakarta Kota-Bojong Gede, KRL Ekonomi AC Angke/Jakarta Kota/Manggarai/Tanahabang-Bogor, KRL Ekonomi Angke/Jakarta Kota/Tanahabang-Depok, KRL Ekonomi Jakarta Kota/Tanahabang-Bojong Gede, KRL Ekonomi Angke/Jakarta Kota/Kampung Bandan/Manggarai/Tanahabang-Bogor","Stasiun Duren Kalibata"
"http://id.dbpedia.org/resource/KRL_Jabotabek","Stasiun Kebayoran"
"http://id.dbpedia.org/resource/Kereta_api_Rangkas_Jaya","Stasiun Kebayoran"
"http://id.dbpedia.org/resource/Kereta_api_lokal_ekonomi_Rangkasbitung-Jakarta","Stasiun Kebayoran"
"Semuanya","Stasiun Duri"
"Kereta api Ekonomi dan KRL.","Stasiun Palmerah"
"KRL Commuter Line Duri-Tangerang","Stasiun Rawa Buaya"
"KRL Ekonomi Jakarta-Bogor, KRL Ekonomi Jakarta-Depok, KRL Ekonomi Jakarta-Bojong Gede","Stasiun Universitas Pancasila"
"KRL Jabotabek","Stasiun Karet"
"Lihat di bagian kereta api","Stasiun Bekasi"
"http://id.dbpedia.org/resource/Kereta_api_Banten_Ekspres","Stasiun Merak"
"http://id.dbpedia.org/resource/Kereta_api_Banten_Ekspres","Stasiun Tigaraksa"
"http://id.dbpedia.org/resource/Kereta_api_Rangkas_Jaya","Stasiun Tigaraksa"
"http://id.dbpedia.org/resource/Kereta_api_Langsam","Stasiun Tigaraksa"
"http://id.dbpedia.org/resource/Kereta_api_Patas_Merak","Stasiun Tigaraksa"
"http://id.dbpedia.org/resource/Kereta_api_Lokal_RK-PRP","Stasiun Tigaraksa"
"http://id.dbpedia.org/resource/Kereta_api_Banten_Ekspres","Stasiun Krenceng"
"http://id.dbpedia.org/resource/Kereta_api_Patas_Merak","Stasiun Krenceng"
"http://id.dbpedia.org/resource/Kereta_api_Banten_Ekspres","Stasiun Tonjong Baru"
"http://id.dbpedia.org/resource/Kereta_api_Patas_Merak","Stasiun Tonjong Baru"
"http://id.dbpedia.org/resource/Kereta_api_Banten_Ekspres","Stasiun Cilegon"
"http://id.dbpedia.org/resource/Kereta_api_Patas_Merak","Stasiun Cilegon"
"KRL Jabotabek, Kereta Ekonomi","Stasiun Pondok Ranji"
"http://id.dbpedia.org/resource/KRL_Jabotabek","Stasiun Jurangmangu"
